sentenca,categoria_maritaka
"Apesar de estar localizado em um Shopping, o Coco Bambu Manaus é um bom restaurante, porém verificamos algumas falhas.","geral, localização"
"Porém, se isso não lhe for incômodo e a parte da comida que convém, pode ir que é uma boa opção.",comida
"Excelente opção gastronômica e para quem gosta de cervejas artesanais, tem algumas com o rótulo do próprio Dedé, neste dia destaco o atendimento da funcionária Eliana que nossa atendeu com muita eficiência e simpatia, inclusive quando percebeu que o queijo coalho estava queimado embaixo trocou...Mais","serviço, bebida, comida"
"Fui toda animada por ser um restaurante famoso, mas me decepcionei com a comida.",comida
Excelente restaurante.,geral
"É um bom bar, cerveja gelada, e música boa, samba, claro!","bebida, ambiente"
"Um restaurante flutuante com uma comida regional diferenciada, muito boa.","comida, ambiente"
É a melhor churrascaria de Manaus!!!,"comida, geral"
Não conheci restaurante tão aconchegante em Manaus.,"ambiente, localização, geral"
Uma boa opção pra quem quer ficar literalmente de bubuia naquele calor maravilhoso de Manaus e a comida muito boa tmb,"comida, ambiente"
Restaurante muito sostificado .Atendimento excelente.Recomendo este restaurante à todos.,"serviço, geral"
Uma ótima opção pra sair da rotina com os amigos.,geral
Excelente opção para conhecer a culinária regional.,comida
"Ótimo restaurante, confortável e atendimento excelente","geral, ambiente, serviço"
"Ambiente agradável, excelente atendimento, banheiros limpos e climatizados, peca por não ter uma área própria de estacionamento, no entanto , oferece um excelente serviço para o público frequentador.","ambiente, serviço, outros"
Ok melhor restaurante do Brasil,geral
"Bem localizado e sempre cheio, sinal que é um bom restaurante, este recinto é uma boa pedida para apreciar a culinària local.","<frase>ambiente, localização, geral, comida"
"Ótimo bar local para um lanche rápido, com cervejas locais e conversar com pessoas locais agradáveis!","bebida, ambiente, geral"
"lotado aos fins de semana, é um restaurante frequentado por toda a cidade.","localização, geral"
"O forte do calçada alta é o bolinho de bacalhau, que é gostoso, mas muito caro.","comida, preço"
Bar tradicional do centro da cidade.,"comida, bebida, ambiente, localização, preço, geral"
"Melhor bar de manaus,atendimento nota 10000","serviço, ambiente"
"Restaurante temático, atendimento diferenciado, comida nordestina maravilhosa, sucos deliciosos, música diversificada.","comida, bebida, serviço, ambiente"
"Restaurante muito bom, com ambiente agradável, opção de brinquedoteca para crianças, atendimento rápido e comida muito gostosa.","ambiente, serviço, comida"
"Um bom bar , lembra mts  a era boemia d manaus.","<frase>ambiente, serviço, geral"
"Restaurante excelente,ambiente muito confortável, excelente atendimento de todos os funcionários e a comida de muito bom gosto ,O camarão internacional e maravilhoso com certeza indico vcs vão adorar","<frase>ambiente, serviço, comida"
"Restaurante premiado, de comida regional.","comida, ambiente"
"Restaurante típico da culinária portuguesa, mantém um cardápio permanente sem muitas alterações, passou por modificação estrutural que oferece mais conforto aos clientes.","comida, ambiente"
Parabéns a família por este tradicional restaurante..que JEOVÁ DEUS  lhes abençoe grandemente.,"<frase>geral, outros"
"Localização estratégica, pois fica dentro de um dos shoppings centers mais badalados de Manaus.",localização
Lugar exelente servicio bom só cardápio limitado por ele valor acho poderiam ser mas abertos a sugestões tipo eu sou mexicano queria uma comida similar tem todo os ingredientes matéria prima e não quiseram fazer falando tá fora do cardápio eu sei mas como falo não custava nada atender ao cliente olha pague 250 reais cobraram 5 reais por persona por  cover da música q na verdade nem e boa nem dá pra conversar ahh mas 14 ou 19 reais por área infantil acho também um abuso tem lugares que e de graça,"comida, serviço, preço, ambiente, outros"
"Melhor restaurante português de Manaus, excelente atendimento, equipe maravilhosa!","serviço, geral"
"Restaurante tranquilo, super aconchegante, Bacalhau muito saboroso.","ambiente, comida"
Melhor restaurante com a minha esposa linda!!,geral
"Ótimo restaurante, um dos melhores sushi de Manaus .","comida, geral"
restaurante muito bom .. serve pizzas e massas das.melhores qualidades.. preços tbm acessíveis que cabe no seu bolso .,"comida, bebida, serviço, preço, geral"
"Ambiente médio refrigerado com decorações agradáveis, painéis tema indígena, sem área externa.","ambiente, outros"
Tivemos uma ótima experiência gastronômica no melhor restaurante de Manaus.,"comida, ambiente, geral"
Quem gosta de um happy Hour é uma boa opção.,"comida, bebida, geral"
"Achei uma boa opção, mas muito barulhento e não tem na cozinha a mesma qualidade que apresenta nos produtos da delicatessen","ambiente, comida, geral"
"Na minha opinião é o melhor restaurante regional de Manaus, comi um pirarucu com banana e queijo coalho simplesmente maravilhoso...recomendo, pode vir sem medo...","comida, ambiente, serviço, geral"
"É um bom restaurante, mas geralmente domingo o atendimento não é bom.","serviço, geral"
É uma restaurante que possui dois ambientes um mais tradicional puxando pra cozinha portuguesa e outro mais moderno!,ambiente
"E ainda conta com uma área grande para as crianças, se divertirem enquanto o pedido é finalizado.","ambiente, serviço"
Excelente restaurante.,geral
"Excelente opção, pão de qualidade.",comida
"Para quem não quer arriscar e comer massa com carnes variadas, esse é  o restaurante ideal!",comida
"Atendimento excelente atendimento, garçom José Gregório muito simpático e cordial, parabéns pelo serviço prestado.",serviço
Um dos melhores restaurantes de Manaus !!,geral
"Poderia ter um preços mais acessíveis, e isso seria de forma simples: tendo como opção tapiocas menores ou individuais.","preço, outros"
Ótimo restaurante,<frase>geral
"Restaurante maravilhoso, todos os pratos são muito bem servidos.","<frase>comida, serviço"
"Ótima comida regional de qualidade, bom atendimento, várias opções de pratos e bebidas... ótimo restaurante.","comida, bebida, serviço, geral"
"Pizza boa só que dps de um tempo pararam de servi a nossa messa, tirando é uma excelente pizzaria.","serviço, comida"
"Bar pequeno, mas com boas promoções.","bar, promoções"
"Pizzaria muito boa, qualidade, variedade, ambiente, local pra crianças.","<frase>ambiente, comida, localização"
O restaurante fica localizado no centro histórico ao lado do teatro Amazonas.,localização
Restaurante maravilhoso de Manaus!!!!!,geral
O Langrill é um restaurante razoável.,<frase>geral
Restaurante espetacular que mescla a culinária regional com a arte dos melhores chefs do país; localizado em um belíssimo prédio histórico com vista privilegiada para o Teatro Amazonas.,"comida, ambiente, localização"
"Restaurante regional muito bom, com ótimos pescados, tais como tambaqui, pirarucu, piau e jatuarana, tudo bem preparados.",comida
Excelente restaurante,<frase>geral
"Pra quem procura otima carne... em um custo bom, otimo lugar e boa higienização.... está ai otima churrascaria !!!","serviço, comida, preço, geral"
Bar histórico de MANAUS!,"ambiente, geral"
"Meu lugarzinho do açaí, ótimo opção.","comida, localização"
"Restaurante excelente,ambiente muito confortável, excelente atendimento de todos os funcionários e a comida de muito bom gosto ,O camarão internacional e maravilhoso com certeza indico vcs vão adorar","serviço, ambiente, comida"
"Atendimento excepcional, restaurante maravilhoso, e a melhor trilha sonora que se pode imaginar!","serviço, ambiente, geral"
"O Dedé Boteco é uma novidade no Amazonas Shopping, localizado na praça de alimentação do primeiro piso, um local muito aconchegante, estilo boteco, área interna climatizada e externa ao ar livre, Wi-Fi free; possui um menu bebidas e gastronomia, com chopp gelado, cervejas e outros...Mais","serviço, ambiente, localização, comida, bebida"
Excelente restaurante!,geral
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.","comida, ambiente"
"Excelente restaurante, a comida é bem gostosa é preparada com peixes regionais como o tambaqui, pararucu entre outros, um ponto negativo para o local é a falta de um estacionamento, por ser um local bastante frequentado.","comida, ambiente, localização, geral"
Bares badalados na mesma rua perdem em atendimento.,<frase>serviço
Tem uma área privada disponível para grupos...Mais,"a frase ""tem uma área privada disponível para grupos mais"" não fornece informações específicas sobre comida, bebida, serviço, ambiente, localização, preço ou uma visão geral do restaurante portanto, não é possível identificar nenhum dos temas especificados"
"Restaurante muito bom,excelente pra se degustação um peixe regional típico e com requinte do toque de um Chef recomendo a muqueca ao molho de camarão Maravilhosa! !","comida, bebida, serviço, geral"
Surpreendente restaurante na capital amazonense.,geral
Melhor restaurante de Manaus,geral
É um bom restaurante.,geral
Uma ótima opção pra ir depois do culto no fim de semana ou durante a semana com os amigos ?,"localização, geral"
"Tem uma vista para o butirizau que fica no meio do Shopping Manauara muito bonita inclusive com mesas externas, o ambiente é muito agradável, comi carne de sol, é muito boa.","serviço, ambiente, comida"
"Restaurante português, muito bom.",comida
"ótimo restaurante e ótimo atendimento, fomos atendidos pelo sr. Pedro Jacks muito atencioso, gostei de mais.","serviço, geral"
Foi com clientes neste excelente restaurante português.,comida
Mas pra quem deseja ir a um lugar um pouco diferente conheça.,geral
Manaus tem um excelente restaurante português com um divino bacalhau.,"comida, geral"
"O espaço físico tbm tá cada dia melhor, pertinho da natureza, dá pra fazer belas fotos tbm","ambiente, localização, outros"
Excelente restaurante.,geral
"Restaurante de culinária portuguesa de excelente qualidade, cozinha perfeita, honesta e de sabores 1000.","<frase>comida, geral"
Restaurante acolhedor preços convidativos.,"geral, localização, preço"
"Situado num dos melhores shoppings de Manaus, o Coco Bambu é um restaurante de alto padrão.","localização, geral"
La tem boa opção de comida mas evito ao maximo em ir.,"comida, geral"
Bar bem legal,ambiente
Restaurante top.,"a frase ""restaurante top"" não fornece detalhes específicos suficientes para identificar claramente os temas relacionados a serviço, bebida, ambiente, comida, localização, preço ou uma avaliação geral, já que a expressão ""top"" é bastante genérica portanto, não é possível classificar a frase em um dos temas especificados"
